mision,modelo,ejecuciones,tasa_completadas_pct,tasa_exito_pct,val_sin_colisiones,val_altura,val_comandos,val_objetivo,format_compliance_pct_media,format_compliance_pct_min,format_compliance_pct_max,semantic_pct_media,semantic_pct_min,semantic_pct_max,obstacle_detection_pct_media,obstacle_detection_pct_min,obstacle_detection_pct_max,tokens_per_call_media,tokens_per_call_min,tokens_per_call_max,avg_latency_s_media,avg_latency_s_min,avg_latency_s_max,frames_processed_media,frames_processed_min,frames_processed_max,max_lateral_drift_m_media,max_lateral_drift_m_min,max_lateral_drift_m_max,system_errors_total_media,system_errors_total_min,system_errors_total_max
mision1,Gemma,4,100.0,0.0,2,4,4,0,17.5,16.666666666666668,20.0,0.0,0.0,0.0,100.0,100.0,100.0,2277.2583,2274.2,2279.1666666666665,8.3456,8.161800000000001,8.53585,6.0,6,6,0.64,0.55,0.69,4.5,4,5
mision1,Qwen,4,100.0,0.0,4,4,4,0,100.0,100.0,100.0,7.2672,4.365079365079365,11.073825503355705,94.4444,77.77777777777777,100.0,1272.4675,1271.625,1272.957894736842,1.3386,1.3006003164556963,1.377078947368421,285.75,277,307,4.8875,4.0,5.22,1.25,0,3
mision1,Smol,4,100.0,75.0,3,4,4,3,5.9499,2.9508196721311477,14.285714285714286,65.6638,60.0,71.98581560283688,65.0232,5.882352941176471,86.66666666666667,1646.2343,1638.5445859872611,1657.7301587301588,1.3995,1.2840993243243242,1.577968253968254,236.5,56,306,1.535,0.48,2.2,1.5,0,2
mision2,Gemma,5,100.0,0.0,5,5,5,0,39.4436,18.51851851851852,61.904761904761905,35.3318,15.384615384615385,52.94117647058823,,,,2082.8621,2061.9583333333335,2096.4444444444443,8.2162,7.936761904761904,8.424940740740741,22.6,20,25,2.088,2.06,2.11,20.2,10,33
mision2,Qwen,5,100.0,40.0,4,5,5,2,100.0,100.0,100.0,100.0,100.0,100.0,,,,1149.9756,1137.5481927710844,1155.3145161290322,1.4182,1.3137502702702704,1.516452409638554,149.6,102,196,1.68,0.15,2.08,4.0,0,15
mision2,Smol,5,100.0,0.0,5,5,5,0,37.436,33.333333333333336,45.63106796116505,72.0168,57.142857142857146,81.25,25.0,25.0,25.0,1620.7544,1604.7983193277312,1657.8252427184466,1.9943,1.8691659574468087,2.1756174757281554,111.8,86,157,2.258,2.15,2.56,4.8,0,22
mision3,Gemma,4,100.0,100.0,0,0,4,4,51.7907,48.97959183673469,56.0,33.2605,24.242424242424242,39.130434782608695,100.0,100.0,100.0,2455.0247,2451.0408163265306,2459.4651162790697,8.1815,8.09075,8.43364081632653,42.5,38,45,9.715,8.74,10.16,28.25,25,31
mision3,Qwen,4,100.0,0.0,0,4,4,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1564.979,1562.0068965517241,1568.9574468085107,1.4104,1.3430979310344828,1.4893921428571428,131.5,127,136,6.425,6.38,6.45,0.5,0,1
mision3,Smol,3,100.0,0.0,3,3,3,0,45.5478,39.02439024390244,54.76190476190476,5.5556,0.0,16.666666666666668,,,,1672.7655,1644.8902439024391,1701.3690476190477,2.2906,2.0554341463414634,2.5787178571428573,100.3333,74,152,2.3833,2.38,2.39,2.0,1,4
mision4,Gemma,3,100.0,66.67,2,2,3,2,36.294,24.242424242424242,48.275862068965516,41.8056,15.0,66.66666666666667,44.5055,0.0,69.23076923076923,2409.3501,2338.4137931034484,2451.909090909091,8.4773,7.813909090909092,8.832189655172415,22.6667,11,30,0.8933,0.64,1.33,15.6667,7,25
mision4,Qwen,3,100.0,0.0,3,3,3,0,100.0,100.0,100.0,100.0,100.0,100.0,14.0568,12.5,15.384615384615385,1516.7541,1484.9148936170213,1536.1356783919598,1.3436,1.267750588235294,1.3959,131.3333,42,191,2.7467,0.0,4.31,0.6667,0,1
mision4,Smol,3,66.67,0.0,3,3,3,0,15.2991,10.0,20.512820512820515,70.6522,50.0,86.95652173913044,41.4216,11.764705882352942,100.0,1881.6888,1865.6818181818182,1894.2820512820513,1.5519,1.3332745454545454,1.7560589743589743,56.6667,34,102,0.5033,0.0,1.33,2.0,0,3
